journal,issn-l,issn-e,categories
INTERNATIONAL JOURNAL OF MODELING SIMULATION AND SCIENTIFIC COMPUTING,1793-9623,1793-9615,"Computer Science, Theory & Methods"
INTERNATIONAL JOURNAL OF MODELLING AND SIMULATION,0228-6203,1925-7082,"Engineering, Multidisciplinary | Mathematics, Interdisciplinary Applications"
INTERNATIONAL JOURNAL OF MODELLING IDENTIFICATION AND CONTROL,1746-6172,1746-6180,Automation & Control Systems
INTERNATIONAL JOURNAL OF MOLECULAR AND CELLULAR MEDICINE,2251-9637,2251-9645,"Medicine, Research & Experimental"
INTERNATIONAL JOURNAL OF MULTICULTURAL EDUCATION,1934-5267,1934-5267,Education & Educational Research
INTERNATIONAL JOURNAL OF MULTIMEDIA DATA ENGINEERING & MANAGEMENT,1947-8534,1947-8542,"Computer Science, Software Engineering"
INTERNATIONAL JOURNAL OF MYCOBACTERIOLOGY,2212-5531,2212-554X,Infectious Diseases | Microbiology
INTERNATIONAL JOURNAL OF NANO DIMENSION,2008-8868,2228-5059,Nanoscience & Nanotechnology
INTERNATIONAL JOURNAL OF NANOELECTRONICS AND MATERIALS,1985-5761,2232-1535,"Materials Science, Multidisciplinary"
INTERNATIONAL JOURNAL OF NANOSCIENCE,0219-581X,1793-5350,Nanoscience & Nanotechnology
INTERNATIONAL JOURNAL OF NEONATAL SCREENING,,2409-515X,Genetics & Heredity | Pediatrics
INTERNATIONAL JOURNAL OF NEPHROLOGY,2090-214X,2090-2158,Urology & Nephrology
INTERNATIONAL JOURNAL OF NEPHROLOGY AND RENOVASCULAR DISEASE,1178-7058,1178-7058,Urology & Nephrology
INTERNATIONAL JOURNAL OF NETWORK DYNAMICS AND INTELLIGENCE,,2653-6226,"Computer Science, Information Systems"
INTERNATIONAL JOURNAL OF NETWORKED AND DISTRIBUTED COMPUTING,2211-7938,2211-7946,"Computer Science, Software Engineering"
INTERNATIONAL JOURNAL OF NONCOMMUNICABLE DISEASES,2468-8827,2468-8835,"Public, Environmental & Occupational Health | Medicine, General & Internal"
INTERNATIONAL JOURNAL OF NURSING EDUCATION SCHOLARSHIP,2194-5772,1548-923X,Nursing
INTERNATIONAL JOURNAL OF NURSING SCIENCES,,2352-0132,Nursing
INTERNATIONAL JOURNAL OF NURSING STUDIES ADVANCES,2666-142X,2666-142X,Nursing
INTERNATIONAL JOURNAL OF ONLINE AND BIOMEDICAL ENGINEERING,,2626-8493,"Computer Science, Interdisciplinary Applications"
INTERNATIONAL JOURNAL OF ONLINE MARKETING,2156-1753,2156-1745,Business
INTERNATIONAL JOURNAL OF ONLINE PEDAGOGY AND COURSE DESIGN,2155-6873,2155-6881,Education & Educational Research
INTERNATIONAL JOURNAL OF OPTIMIZATION AND CONTROL-THEORIES & APPLICATIONS-IJOCTA,2146-0957,2146-5703,"Mathematics, Applied"
INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS,1934-8835,1758-8561,Management
INTERNATIONAL JOURNAL OF ORGANIZATIONAL LEADERSHIP,2383-1103,2345-6744,Management
INTERNATIONAL JOURNAL OF ORGAN TRANSPLANTATION MEDICINE,2008-6490,2008-6482,Transplantation
INTERNATIONAL JOURNAL OF ORTHODONTIC REHABILITATION,2349-5243,2542-5579,"Dentistry, Oral Surgery & Medicine"
INTERNATIONAL JOURNAL OF ORTHOPAEDIC AND TRAUMA NURSING,1878-1241,1878-1292,Nursing
INTERNATIONAL JOURNAL OF PALLIATIVE NURSING,1357-6321,1357-6321,Nursing
INTERNATIONAL JOURNAL OF PARALLEL EMERGENT AND DISTRIBUTED SYSTEMS,1744-5760,1744-5779,"Computer Science, Theory & Methods"
INTERNATIONAL JOURNAL OF PARLIAMENTARY STUDIES,2666-8904,2666-8912,Political Science | Law
INTERNATIONAL JOURNAL OF PARTICLE THERAPY,,2331-5180,"Oncology | Radiology, Nuclear Medicine & Medical Imaging"
INTERNATIONAL JOURNAL OF PAVEMENT RESEARCH AND TECHNOLOGY,1996-6814,1997-1400,"Construction & Building Technology | Engineering, Civil | Materials Science, Multidisciplinary"
INTERNATIONAL JOURNAL OF PEDIATRICS,1687-9740,1687-9759,Pediatrics
INTERNATIONAL JOURNAL OF PERFORMANCE ARTS AND DIGITAL MEDIA,1479-4713,2040-0934,Theater
INTERNATIONAL JOURNAL OF PERSIAN LITERATURE,2376-5739,2376-5755,Asian Studies | Literature
INTERNATIONAL JOURNAL OF PERVASIVE COMPUTING AND COMMUNICATIONS,1742-7371,1742-738X,"Computer Science, Interdisciplinary Applications"
INTERNATIONAL JOURNAL OF PHARMACEUTICAL AND HEALTHCARE MARKETING,1750-6123,1750-6131,Health Policy & Services
INTERNATIONAL JOURNAL OF PHARMACEUTICAL INVESTIGATION,2230-973X,2230-9713,Pharmacology & Pharmacy
INTERNATIONAL JOURNAL OF PHARMACY PRACTICE,0961-7671,2042-7174,Pharmacology & Pharmacy
INTERNATIONAL JOURNAL OF PHILOSOPHY AND THEOLOGY,2169-2327,2169-2335,Philosophy
INTERNATIONAL JOURNAL OF PHYSIOTHERAPY,2349-5987,2348-8336,Orthopedics
INTERNATIONAL JOURNAL OF PHYTOPATHOLOGY,2313-1241,2312-9344,Plant Sciences
INTERNATIONAL JOURNAL OF PLAY,2159-4937,2159-4953,"Education & Educational Research | Psychology, Multidisciplinary | Social Sciences, Interdisciplinary"
INTERNATIONAL JOURNAL OF POLITICAL ECONOMY,0891-1916,1558-0970,Economics
INTERNATIONAL JOURNAL OF POLITICS CULTURE AND SOCIETY,0891-4486,1573-3416,Political Science
INTERNATIONAL JOURNAL OF POPULATION DATA SCIENCE (IJPDS),,2399-4908,"Health Care Sciences & Services | Public, Environmental & Occupational Health | Social Sciences, Interdisciplinary"
INTERNATIONAL JOURNAL OF POWER AND ENERGY SYSTEMS,1078-3466,1710-2243,"Engineering, Electrical & Electronic"
INTERNATIONAL JOURNAL OF PRACTICAL THEOLOGY,1430-6921,1612-9768,Religion
INTERNATIONAL JOURNAL OF PREVENTIVE MEDICINE,2008-7802,2008-8213,"Medicine, General & Internal"
INTERNATIONAL JOURNAL OF PRISONER HEALTH,1744-9200,1744-9219,"Public, Environmental & Occupational Health"
INTERNATIONAL JOURNAL OF PRODUCTION MANAGEMENT AND ENGINEERING,2340-5317,2340-4876,"Engineering, Multidisciplinary"
INTERNATIONAL JOURNAL OF PRODUCTIVITY AND PERFORMANCE MANAGEMENT,1741-0401,1758-6658,Management
INTERNATIONAL JOURNAL OF PROGNOSTICS AND HEALTH MANAGEMENT,2153-2648,2153-2648,"Engineering, Multidisciplinary | Instruments & Instrumentation"
INTERNATIONAL JOURNAL OF PROTECTIVE STRUCTURES,2041-4196,2041-420X,"Engineering, Civil"
INTERNATIONAL JOURNAL OF PSYCHOLOGY AND PSYCHOLOGICAL THERAPY,1577-7057,1989-2780,"Psychology, Multidisciplinary"
INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION,0190-0692,1532-4265,Public Administration
INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION IN THE DIGITAL AGE,2334-4520,2334-4539,Information Science & Library Science
INTERNATIONAL JOURNAL OF PUBLIC LEADERSHIP,2056-4929,2042-8642,Public Administration
INTERNATIONAL JOURNAL OF PUBLIC SECTOR MANAGEMENT,0951-3558,1758-6666,Management | Public Administration
INTERNATIONAL JOURNAL OF QUALITATIVE STUDIES IN EDUCATION,0951-8398,1366-5898,Education & Educational Research
INTERNATIONAL JOURNAL OF QUALITY AND SERVICE SCIENCES,1756-669X,1756-6703,Management
INTERNATIONAL JOURNAL OF QUALITY & RELIABILITY MANAGEMENT,0265-671X,1758-6682,Management
INTERNATIONAL JOURNAL OF RECONFIGURABLE COMPUTING,1687-7195,1687-7209,"Computer Science, Hardware & Architecture"
INTERNATIONAL JOURNAL OF RECYCLING OF ORGANIC WASTE IN AGRICULTURE,2195-3228,2251-7715,Environmental Sciences
INTERNATIONAL JOURNAL OF REFUGEE LAW,0953-8186,1464-3715,Law
INTERNATIONAL JOURNAL OF RELIABILITY QUALITY AND SAFETY ENGINEERING,0218-5393,1793-6446,"Engineering, Multidisciplinary"
INTERNATIONAL JOURNAL OF RELIGION AND SPIRITUALITY IN SOCIETY,2154-8633,2154-8641,History | Religion | Cultural Studies
INTERNATIONAL JOURNAL OF RENEWABLE ENERGY DEVELOPMENT-IJRED,2252-4940,2252-4940,Green & Sustainable Science & Technology | Energy & Fuels
INTERNATIONAL JOURNAL OF RENEWABLE ENERGY RESEARCH,,1309-0127,Energy & Fuels
INTERNATIONAL JOURNAL OF REPRODUCTIVE BIOMEDICINE,2476-4108,2476-3772,Obstetrics & Gynecology
INTERNATIONAL JOURNAL OF RESEARCH IN UNDERGRADUATE MATHEMATICS EDUCATION,2198-9745,2198-9753,Education & Educational Research
INTERNATIONAL JOURNAL OF RESEARCH & METHOD IN EDUCATION,1743-727X,1743-7288,Education & Educational Research
INTERNATIONAL JOURNAL OF RETINA AND VITREOUS,,2056-9920,Ophthalmology
INTERNATIONAL JOURNAL OF RF TECHNOLOGIES-RESEARCH AND APPLICATIONS,1754-5730,1754-5749,"Computer Science, Information Systems"
INTERNATIONAL JOURNAL OF RISK & SAFETY IN MEDICINE,0924-6479,1878-6847,"Public, Environmental & Occupational Health"
INTERNATIONAL JOURNAL OF RIVER BASIN MANAGEMENT,1571-5124,1814-2060,Water Resources
INTERNATIONAL JOURNAL OF ROTATING MACHINERY,1023-621X,1542-3034,"Engineering, Mechanical"
INTERNATIONAL JOURNAL OF SCHOOL & EDUCATIONAL PSYCHOLOGY,2168-3603,2168-3611,"Education & Educational Research | Psychology, Educational"
INTERNATIONAL JOURNAL OF SCIENCE EDUCATION PART B-COMMUNICATION AND PUBLIC ENGAGEMENT,2154-8455,2154-8463,Education & Educational Research
INTERNATIONAL JOURNAL OF SELF-PROPAGATING HIGH-TEMPERATURE SYNTHESIS,1061-3862,1934-788X,"Materials Science, Multidisciplinary"
INTERNATIONAL JOURNAL OF SEMANTIC COMPUTING,1793-351X,1793-7108,"Computer Science, Artificial Intelligence"
INTERNATIONAL JOURNAL OF SERIOUS GAMES,2384-8766,2384-8766,Education & Educational Research
INTERNATIONAL JOURNAL OF SERVICES TECHNOLOGY AND MANAGEMENT,1460-6720,1741-525X,Management
INTERNATIONAL JOURNAL OF SIGNAL AND IMAGING SYSTEMS ENGINEERING,1748-0698,1748-0701,"Engineering, Electrical & Electronic"
INTERNATIONAL JOURNAL OF SINO-WESTERN STUDIES,1799-8204,2242-2471,Religion
INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS,0306-8293,1758-6712,Economics
INTERNATIONAL JOURNAL OF SOCIOLOGY,0020-7659,1557-9336,Sociology
INTERNATIONAL JOURNAL OF SOCIOLOGY AND SOCIAL POLICY,0144-333X,1758-6720,Sociology
INTERNATIONAL JOURNAL OF SOCIOLOGY OF EDUCATION,2014-3575,2014-3575,Sociology
INTERNATIONAL JOURNAL OF SOFTWARE INNOVATION,2166-7160,2166-7179,"Computer Science, Software Engineering"
INTERNATIONAL JOURNAL OF SOFTWARE SCIENCE AND COMPUTATIONAL INTELLIGENCE-IJSSCI,1942-9045,1942-9037,"Computer Science, Artificial Intelligence | Computer Science, Information Systems | Computer Science, Software Engineering"
INTERNATIONAL JOURNAL OF SPACE-BASED AND SITUATED COMPUTING,2044-4893,2044-4907,"Computer Science, Information Systems"
INTERNATIONAL JOURNAL OF SPACE SCIENCE AND ENGINEERING,2048-8459,2048-8467,"Engineering, Aerospace"
INTERNATIONAL JOURNAL OF SPATIAL DATA INFRASTRUCTURES RESEARCH,1725-0463,1725-0463,Geography
INTERNATIONAL JOURNAL OF SPECIAL EDUCATION,0827-3383,0827-3383,"Education, Special"
INTERNATIONAL JOURNAL OF SPINE SURGERY,,2211-4599,Surgery
INTERNATIONAL JOURNAL OF SPORT COMMUNICATION,1936-3915,1936-3907,Communication
INTERNATIONAL JOURNAL OF SPORT POLICY AND POLITICS,1940-6940,1940-6959,"Hospitality, Leisure, Sport & Tourism"
INTERNATIONAL JOURNAL OF SPORTS PHYSICAL THERAPY,2159-2896,2159-2896,Sport Sciences
INTERNATIONAL JOURNAL OF STRATEGIC COMMUNICATION,1553-118X,1553-1198,Communication
INTERNATIONAL JOURNAL OF STRUCTURAL ENGINEERING,1758-7328,1758-7336,"Engineering, Civil"
INTERNATIONAL JOURNAL OF STRUCTURAL INTEGRITY,1757-9864,1757-9872,"Engineering, Multidisciplinary"
INTERNATIONAL JOURNAL OF SURGERY CASE REPORTS,2210-2612,2210-2612,Surgery
INTERNATIONAL JOURNAL OF SURGERY-ONCOLOGY,2471-3864,2471-3864,Oncology
INTERNATIONAL JOURNAL OF SURGERY OPEN,2405-8572,2405-8572,Orthopedics
INTERNATIONAL JOURNAL OF SURGERY PROTOCOLS,2468-3574,2468-3574,Surgery
INTERNATIONAL JOURNAL OF SUSTAINABLE AGRICULTURAL MANAGEMENT AND INFORMATICS,2054-5819,2054-5827,"Agriculture, Multidisciplinary | Computer Science, Interdisciplinary Applications | Green & Sustainable Science & Technology"
INTERNATIONAL JOURNAL OF SUSTAINABLE AVIATION,2050-0467,2050-0475,"Engineering, Aerospace"
INTERNATIONAL JOURNAL OF SUSTAINABLE CONSTRUCTION ENGINEERING AND TECHNOLOGY,2180-3242,2180-3242,Construction & Building Technology
INTERNATIONAL JOURNAL OF SUSTAINABLE ENERGY,1478-6451,1478-646X,Energy & Fuels | Green & Sustainable Science & Technology
INTERNATIONAL JOURNAL OF SUSTAINABLE ENGINEERING,1939-7038,1939-7046,Green & Sustainable Science & Technology
INTERNATIONAL JOURNAL OF SWARM INTELLIGENCE RESEARCH,1947-9263,1947-9271,"Computer Science, Artificial Intelligence"
INTERNATIONAL JOURNAL OF SYSTEM ASSURANCE ENGINEERING AND MANAGEMENT,0975-6809,0976-4348,"Engineering, Multidisciplinary"
INTERNATIONAL JOURNAL OF SYSTEM DYNAMICS APPLICATIONS,2160-9772,2160-9799,"Computer Science, Artificial Intelligence"
INTERNATIONAL JOURNAL OF SYSTEMIC THERAPY,2692-398X,2692-3998,"Psychology, Clinical"
INTERNATIONAL JOURNAL OF TAIWAN STUDIES,2468-8797,2468-8800,Area Studies | Asian Studies
INTERNATIONAL JOURNAL OF TEACHER EDUCATION AND PROFESSIONAL DEVELOPMENT,2572-4878,2572-486X,Education & Educational Research
INTERNATIONAL JOURNAL OF TECHNOETHICS,1947-3451,1947-346X,Ethics
INTERNATIONAL JOURNAL OF TECHNOLOGIES IN HIGHER EDUCATION,1708-7570,1708-7570,Education & Educational Research
INTERNATIONAL JOURNAL OF TECHNOLOGY,2086-9614,2087-2100,"Engineering, Multidisciplinary"
INTERNATIONAL JOURNAL OF TECHNOLOGY AND HUMAN INTERACTION,1548-3908,1548-3916,Information Science & Library Science
INTERNATIONAL JOURNAL OF TECHNOLOGY ENHANCED LEARNING,1753-5255,1753-5263,Education & Educational Research
INTERNATIONAL JOURNAL OF TECHNOLOGY IN EDUCATION,,2689-2758,Education & Educational Research
INTERNATIONAL JOURNAL OF TELEMEDICINE AND APPLICATIONS,1687-6415,1687-6423,Health Care Sciences & Services
INTERNATIONAL JOURNAL OF TELEREHABILITATION,1945-2020,1945-2020,Rehabilitation
INTERNATIONAL JOURNAL OF TESTING,1530-5058,1532-7574,"Social Sciences, Interdisciplinary"
INTERNATIONAL JOURNAL OF THE ECONOMICS OF BUSINESS,1357-1516,1466-1829,Business | Economics
INTERNATIONAL JOURNAL OF THE INCLUSIVE MUSEUM,1835-2014,1835-2022,"Hospitality, Leisure, Sport & Tourism | Social Sciences, Interdisciplinary"
INTERNATIONAL JOURNAL OF THE LEGAL PROFESSION,0969-5958,1469-9257,Law
INTERNATIONAL JOURNAL OF THEORETICAL AND APPLIED FINANCE,0219-0249,1793-6322,"Business, Finance"
INTERNATIONAL JOURNAL OF THERAPY AND REHABILITATION,1741-1645,1759-779X,Rehabilitation
INTERNATIONAL JOURNAL OF THERMODYNAMICS,1301-9724,2146-1511,Thermodynamics
INTERNATIONAL JOURNAL OF THE SOCIOLOGY OF LANGUAGE,0165-2516,1613-3668,Linguistics | Language & Linguistics | Sociology
INTERNATIONAL JOURNAL OF TOURISM CITIES,2056-5607,2056-5615,"Hospitality, Leisure, Sport & Tourism"
INTERNATIONAL JOURNAL OF TRAINING AND DEVELOPMENT,1360-3736,1468-2419,Management
INTERNATIONAL JOURNAL OF TRAINING RESEARCH,1448-0220,2204-0544,Education & Educational Research
INTERNATIONAL JOURNAL OF TRANSPORTATION SCIENCE AND TECHNOLOGY,2046-0430,2046-0449,Transportation | Transportation Science & Technology
INTERNATIONAL JOURNAL OF TRYPTOPHAN RESEARCH,1178-6469,1178-6469,Neurosciences
INTERNATIONAL JOURNAL OF TURBOMACHINERY PROPULSION AND POWER,,2504-186X,"Engineering, Aerospace | Engineering, Mechanical"
INTERNATIONAL JOURNAL OF URBAN SUSTAINABLE DEVELOPMENT,1946-3138,1946-3146,Environmental Studies
INTERNATIONAL JOURNAL OF UROLOGICAL NURSING,1749-7701,1749-771X,Nursing | Urology & Nephrology
INTERNATIONAL JOURNAL OF VALUE CHAIN MANAGEMENT,1741-5357,1741-5365,Management
INTERNATIONAL JOURNAL OF VASCULAR MEDICINE,2090-2824,2090-2832,Peripheral Vascular Diseases
INTERNATIONAL JOURNAL OF VEGETABLE SCIENCE,1931-5260,1931-5279,Horticulture
INTERNATIONAL JOURNAL OF VEHICLE PERFORMANCE,1745-3194,1745-3208,"Transportation Science & Technology | Engineering, Mechanical"
INTERNATIONAL JOURNAL OF VETERINARY SCIENCE AND MEDICINE,2314-4580,2314-4599,Veterinary Sciences
INTERNATIONAL JOURNAL OF WEB INFORMATION SYSTEMS,1744-0084,1744-0092,"Computer Science, Information Systems"
INTERNATIONAL JOURNAL OF WHOLE SCHOOLING,1710-2146,1710-2146,Education & Educational Research
INTERNATIONAL JOURNAL OF WINE BUSINESS RESEARCH,1751-1062,1751-1070,Agronomy
INTERNATIONAL JOURNAL OF WIRELESS INFORMATION NETWORKS,1068-9605,1572-8129,Telecommunications
INTERNATIONAL JOURNAL OF WOMENS DERMATOLOGY,2352-6475,2352-6475,Dermatology
INTERNATIONAL JOURNAL OF WOMENS HEALTH AND REPRODUCTION SCIENCES,2330-4456,2330-4456,Reproductive Biology
INTERNATIONAL JOURNAL OF WORK-INTEGRATED LEARNING,2538-1032,2538-1032,"Education & Educational Research | Social Sciences, General"
INTERNATIONAL JOURNAL OF WORKPLACE HEALTH MANAGEMENT,1753-8351,1753-836X,"Public, Environmental & Occupational Health"
INTERNATIONAL JOURNAL OF YOGA,0973-6131,2231-2714,Integrative & Complementary Medicine
INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES,1432-5012,1432-1300,Information Science & Library Science
INTERNATIONAL JOURNAL ON INFORMATION TECHNOLOGIES AND SECURITY,1313-8251,1313-8251,"Computer Science, Information Systems"
INTERNATIONAL JOURNAL ON MINORITY AND GROUP RIGHTS,1385-4879,1571-8115,Law
INTERNATIONAL JOURNAL ON SMART SENSING AND INTELLIGENT SYSTEMS,1178-5608,1178-5608,"Engineering, Electrical & Electronic"
INTERNATIONAL JOURNAL ON STUDIES IN EDUCATION,2690-7909,2690-7909,Education & Educational Research
INTERNATIONAL JOURNAL ON WORKING CONDITIONS,2182-9535,2182-9535,Industrial Relations & Labor
INTERNATIONAL MARITIME HEALTH,1641-9251,2081-3252,"Public, Environmental & Occupational Health"
INTERNATIONAL MEDICAL CASE REPORTS JOURNAL,1179-142X,1179-142X,"Medicine, General & Internal"
INTERNATIONAL NANO LETTERS,2008-9295,2228-5326,Nanoscience & Nanotechnology
INTERNATIONAL NEGOTIATION-A JOURNAL OF THEORY AND PRACTICE,1382-340X,1571-8069,International Relations
INTERNATIONAL ORGANIZATIONS LAW REVIEW,1572-3739,1572-3747,Law
INTERNATIONAL ORTHODONTICS,1761-7227,1879-680X,"Dentistry, Oral Surgery & Medicine"
INTERNATIONAL PLANNING STUDIES,1356-3475,1469-9265,Regional & Urban Planning
INTERNATIONAL PRODUCTIVITY MONITOR,1492-9759,1492-9767,Economics
INTERNATIONAL PUBLIC HISTORY,,2567-1111,History
INTERNATIONAL REAL ESTATE REVIEW,2154-8919,2154-8919,Economics
INTERNATIONAL RESEARCH IN EARLY CHILDHOOD EDUCATION,1838-0689,1838-0689,Education & Educational Research
INTERNATIONAL RESEARCH IN GEOGRAPHICAL AND ENVIRONMENTAL EDUCATION,1038-2046,1747-7611,Education & Educational Research
INTERNATIONAL REVIEW,2217-9739,2217-9739,Economics
INTERNATIONAL REVIEW FOR SPATIAL PLANNING AND SUSTAINABLE DEVELOPMENT,2187-3666,2187-3666,Green & Sustainable Science & Technology
INTERNATIONAL REVIEW OF APPLIED ECONOMICS,0269-2171,1465-3486,Economics
INTERNATIONAL REVIEW OF EDUCATION,0020-8566,1573-0638,Education & Educational Research
INTERNATIONAL REVIEW OF ENVIRONMENTAL AND RESOURCE ECONOMICS,1932-1465,1932-1473,Economics
INTERNATIONAL REVIEW OF INFORMATION ETHICS,1614-1687,1614-1687,Ethics
INTERNATIONAL REVIEW OF MISSION,0020-8582,1758-6631,Religion
INTERNATIONAL REVIEW OF PRAGMATICS,1877-3095,1877-3109,Language & Linguistics
INTERNATIONAL REVIEW OF RETAIL DISTRIBUTION AND CONSUMER RESEARCH,0959-3969,1466-4402,Business
INTERNATIONAL REVIEW OF SCOTTISH STUDIES,0703-1580,1923-5763,"Humanities, Multidisciplinary"
INTERNATIONAL REVIEW OF SOCIOLOGY-REVUE INTERNATIONALE DE SOCIOLOGIE,0390-6701,1469-9273,Sociology
INTERNATIONAL REVIEW OF VICTIMOLOGY,0269-7580,2047-9433,Criminology & Penology
INTERNATIONAL REVIEW ON PUBLIC AND NONPROFIT MARKETING,1865-1984,1865-1992,Business
INTERNATIONAL SHIPBUILDING PROGRESS,0020-868X,1566-2829,"Engineering, Marine"
INTERNATIONAL SOCIAL SECURITY REVIEW,0020-871X,1468-246X,Public Administration
INTERNATIONAL SPECTATOR,0393-2729,1751-9721,International Relations
INTERNATIONAL SPORT COACHING JOURNAL,2328-918X,2328-9198,Education & Educational Research
INTERNATIONAL SPORTS LAW JOURNAL,1567-7559,2213-5154,Law
INTERNATIONAL SPORTS STUDIES,1443-0770,1443-0770,"Hospitality, Leisure, Sport & Tourism"
INTERNATIONAL STUDIES IN CATHOLIC EDUCATION,1942-2539,1942-2547,Religion
INTERNATIONAL STUDIES IN SOCIOLOGY OF EDUCATION,0962-0214,1747-5066,Education & Educational Research | Sociology
INTERNATIONAL STUDIES OF ECONOMICS,2831-3224,2831-3224,Economics
INTERNATIONAL STUDIES OF MANAGEMENT & ORGANIZATION,0020-8825,1558-0911,Management
INTERNATIONAL TRADE JOURNAL,0885-3908,1521-0545,Economics
INTERNATIONAL WOOD PRODUCTS JOURNAL,2042-6445,2042-6453,"Materials Science, Paper & Wood"
INTERNET HISTORIES,2470-1475,2470-1483,Communication
INTERNET JOURNAL OF ALLIED HEALTH SCIENCES AND PRACTICE,1540-580X,1540-580X,Health Care Sciences & Services
INTERNET POLICY REVIEW,2197-6775,2197-6775,Communication | Law
INTERNET PRAGMATICS,2542-3851,2542-386X,Communication | Linguistics | Language & Linguistics
INTERNET TECHNOLOGY LETTERS,,2476-1508,Telecommunications
INTERNETWORKING INDONESIA,1942-9703,1942-9703,"Computer Science, Software Engineering"
INTERSECTIONALITIES-A GLOBAL JOURNAL OF SOCIAL WORK ANALYSIS RESEARCH POLITY AND PRACTICE,1925-1270,1925-1270,Social Work
INTERSECTIONS-EAST EUROPEAN JOURNAL OF SOCIETY AND POLITICS,,2416-089X,Political Science
INTERSECTIONS-GENDER AND SEXUALITY IN ASIA AND THE PACIFIC,1440-9151,1440-9151,Women'S Studies
INTERSEZIONI,0393-2451,1973-8196,"Humanities, Multidisciplinary"
INTERTAX,0165-2826,1875-8347,Law
INTERVENCION-REVISTA INTERNACIONAL DE CONSERVACION RESTAURACION Y MUSEOLOGIA,2007-249X,2448-5934,"Humanities, Multidisciplinary"
INTERVENTIONAL CARDIOLOGY-REVIEWS RESEARCH RESOURCES,1756-1477,1756-1485,Cardiac & Cardiovascular System
INTERVENTIONAL RADIOLOGY,,2432-0935,"Radiology, Nuclear Medicine & Medical Imaging"
INTERVENTION-INTERNATIONAL JOURNAL OF MENTAL HEALTH PSYCHOSOCIAL WORK AND COUNSELLING IN AREAS OF ARMED CONFLICT,1571-8883,1872-1001,Psychiatry
INTESTINAL RESEARCH,1598-9100,1598-9100,Gastroenterology & Hepatology
INTRACTABLE & RARE DISEASES RESEARCH,2186-3644,2186-361X,"Medicine, General & Internal"
INTRECCI D ARTE,2240-7251,2240-7251,Art
INVENTIONS,,2411-5134,"Engineering, Multidisciplinary"
INVESTIGACIONES DE HISTORIA ECONOMICA,1698-6989,2340-3373,Economics | History
INVESTIGACIONES FEMINISTAS,2171-6080,2171-6080,Women'S Studies
INVESTIGACIONES FENOMENOLOGICAS,1885-1088,1885-1088,Philosophy
INVESTIGACIONES GEOGRAFICAS-SPAIN,0213-4691,1989-9890,Geography
INVESTIGACIONES HISTORICAS-EPOCA MODERNA Y CONTEMPORANEA,,2530-6472,History
INVESTIGACIONES REGIONALES-JOURNAL OF REGIONAL RESEARCH,1695-7253,2340-2717,Economics
INVESTIGACIONES SOBRE LECTURA,2340-8685,2340-8685,Education & Educational Research | Linguistics
INVESTIGACIONES TURISTICAS,2174-5609,2174-5609,"Hospitality, Leisure, Sport & Tourism"
INVESTIGACION Y EDUCACION EN ENFERMERIA,0120-5307,2216-0280,Nursing
INVESTIGATIVE MAGNETIC RESONANCE IMAGING,,2384-1109,"Radiology, Nuclear Medicine & Medical Imaging"
IN VITRO MODELS,2731-3433,2731-3441,"Cell & Tissue Engineering | Materials Science, Biomaterials"
"INVOLVE, A JOURNAL OF MATHEMATICS",1944-4176,1944-4184,Mathematics
INZYNIERIA MINERALNA-JOURNAL OF THE POLISH MINERAL ENGINEERING SOCIETY,1640-4920,1640-4920,Mining & Mineral Processing
IOT,,2624-831X,Telecommunications
IPOTESI-REVISTA DE ESTUDOS LITERARIOS,1415-2525,1982-0836,Literature
IPRI JOURNAL,1684-9787,1684-9809,International Relations
IPSI BGD TRANSACTIONS ON INTERNET RESEARCH,1820-4503,1820-4503,"Computer Science, Information Systems"
IRANIAN BIOMEDICAL JOURNAL,1028-852X,2008-823X,"Medicine, Research & Experimental"
IRANIAN HEART JOURNAL,1735-7306,1735-7306,Cardiac & Cardiovascular System
IRANIAN JOURNAL OF APPLIED ANIMAL SCIENCE,2251-628X,2251-631X,"Agriculture, Dairy & Animal Science"
IRANIAN JOURNAL OF CATALYSIS,2252-0236,2345-4865,"Chemistry, Physical"
IRANIAN JOURNAL OF CHILD NEUROLOGY,1735-4668,2008-0700,Clinical Neurology
IRANIAN JOURNAL OF EARTH SCIENCES,2008-8779,2228-785X,"Geosciences, Multidisciplinary"
IRANIAN JOURNAL OF LANGUAGE TEACHING RESEARCH,2322-1291,2322-1291,Education & Educational Research
IRANIAN JOURNAL OF MATERIALS SCIENCE AND ENGINEERING,1735-0808,1735-0808,"Materials Science, Multidisciplinary"
IRANIAN JOURNAL OF MATHEMATICAL CHEMISTRY,2228-6489,2008-9015,"Chemistry, Multidisciplinary"
IRANIAN JOURNAL OF MATHEMATICAL SCIENCES AND INFORMATICS,1735-4463,2008-9473,Mathematics
IRANIAN JOURNAL OF MEDICAL SCIENCES,0253-0716,1735-3688,"Medicine, General & Internal"
IRANIAN JOURNAL OF MICROBIOLOGY,2008-3289,2008-4447,Microbiology
IRANIAN JOURNAL OF NEONATOLOGY,2251-7510,2322-2158,Pediatrics
