,journal,issn-l,issn-e,categories,oa-id
17220,REVISTA VORTEX-VORTEX MUSIC JOURNAL,2317-9937,2317-9937,Music,S2738558080
17221,REVMAR-REVISTA CIENCIAS MARINAS Y COSTERAS,1659-407X,1659-407X,Marine & Freshwater Biology,S2739451593
17222,REV RENE,1517-3852,2175-6783,Nursing,S2765060077
17223,REVUE ARCHEOLOGIQUE DU CENTRE DE LA FRANCE,1951-6207,1951-6207,Archaeology,S4210194110
17224,REVUE CIRKEVNIHO PRAVA-CHURCH LAW REVIEW,1211-1635,2336-5609,Religion,S4404670129
17225,REVUE D ANTHROPOLOGIE DES CONNAISSANCES,1760-5393,1760-5393,"Social Sciences, Interdisciplinary",S38517790
17226,REVUE D ECONOMIE REGIONALE ET URBAINE,0180-7307,2107-0865,Economics,S4210224771
17227,REVUE DE L IRES,1145-1378,1145-1378,Industrial Relations & Labor,S4210168187
17228,REVUE DE MICROPALEONTOLOGIE,0035-1598,,Paleontology,S2898090153
17229,REVUE DES COMPOSITES ET DES MATERIAUX AVANCES-JOURNAL OF COMPOSITE AND ADVANCED MATERIALS,1169-7954,1958-5799,"Materials Science, Composites",S4210181896
17230,REVUE DES MONDES MUSULMANS ET DE LA MEDITERRANEE,0997-1327,2105-2271,Area Studies,S4306528249
17231,REVUE DES SCIENCES DE L EDUCATION,0318-479X,1705-0065,Education & Educational Research,S4210220854
17232,REVUE D ETUDES TIBETAINES,1768-2959,1768-2959,Asian Studies,
17233,REVUE D HISTOIRE DES SCIENCES,0151-4105,1969-6582,History & Philosophy Of Science,S64767958
17234,REVUE ECONOMIQUE,0035-2764,1950-6694,Economics,S115516397
17235,REVUE EUROPEENNE DES SCIENCES SOCIALES,0048-8046,1663-4446,"Social Sciences, Interdisciplinary",S4210167969
17236,REVUE GENERAL DE DROIT,0035-3086,0035-3086,Law,S4210208085
17237,REVUE INTERNATIONALE DE GEOMATIQUE,1260-5875,2116-7060,Remote Sensing,S4306420795
17238,REVUE INTERNATIONALE PME,0776-5436,0776-5436,Business,S4210210868
17239,REVUE INTERVENTIONS ECONOMIQUES-PAPERS IN POLITICAL ECONOMY,0715-3570,1710-7377,Economics,S2736487386
17240,REVUE ITALIENNE D'ETUDES FRANCAISES,2240-7456,2240-7456,"Literature, Romance",S4210231769
17241,REVUE LISA-LISA E-JOURNAL,1762-6153,1762-6153,"Humanities, Multidisciplinary",S2738325283
17242,REVUE ROUMAINE DE MATHEMATIQUES PURES ET APPLIQUEES,0035-3965,2343-774X,Mathematics,S4387290674
17243,RHETORIC & PUBLIC AFFAIRS,1094-8392,1534-5238,Communication,S2764771562
17244,RHEUMATOLOGY ADVANCES IN PRACTICE,,2514-1775,Rheumatology,
17245,RHEUMATOLOGY AND IMMUNOLOGY RESEARCH,,2719-4523,Rheumatology | Immunology,
17246,RHEUMATOLOGY & AUTOIMMUNITY,2767-1410,2767-1429,Immunology | Rheumatology,S4210222208
17247,RHIZOMATA-A JOURNAL FOR ANCIENT PHILOSOPHY AND SCIENCE,2196-5102,2196-5110,Philosophy,S4210183560
17248,RHYTHMICA-REVISTA ESPANOLA DE METRICA COMPARADA,1696-5744,1696-5744,"Literature, Romance",S4210237159
17249,RIBAGUA-REVISTA IBEROAMERICANA DEL AGUA,2386-3781,2529-8968,Water Resources,S2898470569
17250,RICERCHE DI PSICOLOGIA,0391-6081,1972-5620,Psychology,S4306528526
17251,RICERCHE DI S-CONFINE,2038-8411,2038-8411,"Humanities, Multidisciplinary",S2738947547
17252,RICERCHE DI STORIA POLITICA,1120-9526,1120-9526,History,S4306528527
17253,RICYDE-REVISTA INTERNACIONAL DE CIENCIAS DEL DEPORTE,1885-3137,1885-3137,Sport Sciences,S2737908203
17254,RIE-REVISTA DE INVESTIGACION EDUCATIVA,0212-4068,1989-9106,Education & Educational Research,S4210172987
17255,RISET GEOLOGI DAN PERTAMBANGAN,0125-9849,2354-6638,"Geosciences, Multidisciplinary",S4210193143
17256,RISK HAZARDS & CRISIS IN PUBLIC POLICY,1944-4079,1944-4079,Public Administration,S8264181
17257,RISK MANAGEMENT AND INSURANCE REVIEW,1098-1616,1540-6296,"Business, Finance | Economics",S2764347203
17258,RISKS,,2227-9091,"Business, Finance",
17259,RISUS-JOURNAL ON INNOVATION AND SUSTAINABILITY,2179-3565,2179-3565,Management,S4210234983
17260,RITA-REVISTA INDEXADA DE TEXTOS ACADEMICOS,2340-9711,2386-7027,Architecture,S207931912
17261,RIVAR-REVISTA IBEROAMERICANA DE VITICULTURA AGROINDUSTRIA Y RURALIDAD,0719-4994,0719-4994,History,S4210226681
17262,RIVISTA D ARTE,1122-0732,2240-5550,Art,
17263,RIVISTA DI CULTURA CLASSICA E MEDIOEVALE,0035-6085,1724-062X,Classics,S4306528592
17264,RIVISTA DI FILOSOFIA,0035-6239,0035-6239,Philosophy,S4393912292
17265,RIVISTA DI FILOSOFIA DEL DIRITTO-JOURNAL OF LEGAL PHILOSOPHY,2280-482X,2280-482X,Philosophy,S4306528611
17266,RIVISTA DI LETTERATURA ITALIANA,0392-825X,1724-0638,"Literature, Romance",S4306528620
17267,RIVISTA DI LETTERATURA STORIOGRAFICA ITALIANA,2532-9626,2611-2787,"History | Literature, Romance",
17268,RIVISTA DI MATEMATICA DELLA UNIVERSITA DI PARMA,0035-6298,2284-2578,Mathematics,
17269,RIVISTA DI PSICOLINGUISTICA APPLICATA-JOURNAL OF APPLIED PSYCHOLINGUISTICS,1592-1328,1724-0646,Linguistics,
17270,RIVISTA DI PSICOLOGIA DELL EMERGENZA E DELL ASSISTENZA UMANITARIA,2280-9120,2280-9120,"Psychology, Clinical",S2736610902
17271,RIVISTA DI STORIA ECONOMICA,0393-3415,2612-1026,History | Economics | History Of Social Sciences,
17272,RIVISTA INTERNAZIONALE DI FILOSOFIA E PSICOLOGIA,2039-4667,2239-2629,"Philosophy | Psychology, Multidisciplinary",S2737193506
17273,RIVISTA ITALIANA DI FILOSOFIA DEL LINGUAGGIO,2036-6728,2036-6728,Language & Linguistics,
17274,RIVISTA ITALIANA DI POLITICHE PUBBLICHE,1722-1137,2612-100X,Political Science | Public Administration,S4306528685
17275,RIVISTA PASCOLIANA,1120-8856,1120-8856,"Literature, Romance",
17276,RI VISTA-RICERCHE PER LA PROGETTAZIONE DEL PAESAGGIO,1724-6768,1724-6768,Architecture,S4210186049
17277,ROADS AND BRIDGES-DROGI I MOSTY,1643-1618,2449-769X,Construction & Building Technology,S2764715999
17278,ROBOMECH JOURNAL,2197-4225,2197-4225,Instruments & Instrumentation | Robotics,S2738378999
17279,ROBOTICS,,2218-6581,Robotics,
17280,ROCK AND SOIL MECHANICS,1000-7598,1000-7598,"Engineering, Geological",S2764640149
17281,ROCK MECHANICS BULLETIN,,2773-2304,"Engineering, Geological",
17282,ROCZNIKI HUMANISTYCZNE,0035-7707,2544-5200,"Humanities, Multidisciplinary",S4210186998
17283,ROEPER REVIEW-A JOURNAL ON GIFTED EDUCATION,0278-3193,1940-865X,"Education, Special",S85644695
17284,ROMANIAN ASTRONOMICAL JOURNAL,1220-5168,2285-3758,Astronomy & Astrophysics,S4390648482
17285,ROMANIAN JOURNAL OF ACOUSTICS AND VIBRATION,1584-7284,1584-7284,Acoustics,
17286,ROMANIAN JOURNAL OF COMMUNICATION AND PUBLIC RELATIONS,1454-8100,2344-5440,Communication,S4210197775
17287,ROMANIAN JOURNAL OF EUROPEAN AFFAIRS,1582-8271,1841-4273,International Relations,S2764740054
17288,ROMANIAN JOURNAL OF INFORMATION TECHNOLOGY AND AUTOMATIC CONTROL-REVISTA ROMANA DE INFORMATICA SI AUTOMATICA,1220-1758,1841-4303,"Computer Science, Interdisciplinary Applications",S4210173566
17289,ROMANIAN JOURNAL OF INTERNAL MEDICINE,1582-3296,2501-062X,"Medicine, General & Internal",S2738597831
17290,ROMANIAN JOURNAL OF MILITARY MEDICINE,1222-5126,2501-2312,"Medicine, General & Internal",S2736502517
17291,ROMANIAN JOURNAL OF ORAL REHABILITATION,,2066-7000,"Dentistry, Oral Surgery & Medicine",
17292,ROMANIAN JOURNAL OF TRANSPORT INFRASTRUCTURE,2286-2218,2286-2218,"Engineering, Civil",S4210199570
17293,ROMANIAN STATISTICAL REVIEW,1018-046X,1844-7694,"Social Sciences, Mathematical Methods",S4393916585
17294,ROMANICA OLOMUCENSIA,1803-4136,2571-0966,"Literature, Romance",S4210233065
17295,ROMANIC REVIEW,0035-8118,2688-5220,"Literature, Romance",S2764570150
17296,ROMISCHE QUARTALSCHRIFT FUR CHRISTLICHE ALTERTUMSKUNDE UND KIRCHENGESCHICHTE,0035-7812,0035-7812,Religion,
17297,RORSCHACHIANA,1192-5604,2151-206X,"Psychology, Clinical",S4210172964
17298,ROSA DOS VENTOS-TURISMO E HOSPITALIDADE,2178-9061,2178-9061,"Hospitality, Leisure, Sport & Tourism",S2736858597
17299,ROSSIISKII ZHURNAL MENEDZHMENTA-RUSSIAN MANAGEMENT JOURNAL,1729-7427,2618-6977,Management,S4210178345
17300,RQR ENFERMERIA COMUNITARIA,2253-9832,2254-8270,Nursing,
17301,RSC CHEMICAL BIOLOGY,2633-0679,2633-0679,"Biochemistry & Molecular Biology | Chemistry, Multidisciplinary",S4210222191
17302,RSC SUSTAINABILITY,,2753-8125,"Engineering, Chemical | Chemistry, Multidisciplinary | Green & Sustainable Science & Technology",
17303,RTH-RESEARCH TRENDS IN HUMANITIES EDUCATION & PHILOSOPHY,2284-0184,2284-0184,"Humanities, Multidisciplinary",
17304,RUCH PRAWNICZY EKONOMICZNY I SOCJOLOGICZNY,0035-9629,2543-9170,Economics | Sociology | Law,S4210194402
17305,RUDARSKO-GEOLOSKO-NAFTNI ZBORNIK,0353-4529,1849-0409,"Geosciences, Multidisciplinary | Mining & Mineral Processing",S2765007485
17306,RUDN JOURNAL OF RUSSIAN HISTORY,2312-8674,2312-8690,History,S2764746964
17307,RUDN JOURNAL OF SOCIOLOGY-VESTNIK ROSSIISKOGO UNIVERSITETA DRUZHBY NARODOV SERIYA SOTSIOLOGIYA,2313-2272,2408-8897,Sociology,S4210191838
17308,RUKOPYSNA TA KNYZHKOVA SPADSHCHYNA UKRAINY-MANUSCRIPT AND BOOK HERITAGE OF UKRAINE,2222-4203,2222-4203,History,S4210190750
17309,RUMINANTS,,2673-933X,"Agriculture, Dairy & Animal Science",
17310,RUPKATHA JOURNAL ON INTERDISCIPLINARY STUDIES IN HUMANITIES,0975-2935,0975-2935,"Humanities, Multidisciplinary",S25154033
17311,RURAL EXTENSION AND INNOVATION SYSTEMS JOURNAL,2204-8758,2204-8766,Agronomy,
17312,RURAL SOCIETY,1037-1656,2204-0536,Sociology,S2764896299
17313,RURAL SPECIAL EDUCATION QUARTERLY,8756-8705,2168-8605,"Education, Special",S2764364422
17314,RURAL THEOLOGY-INTERNATIONAL ECUMENCIAL AND INTERDISCIPLINARY PERSPECTIVES,1470-4994,2042-1273,Religion,S4210183543
17315,RUSI JOURNAL,0307-1847,1744-0378,Political Science,S962698607
17316,RUSIN,1857-2685,2345-1149,History,S4210176596
17317,RUSSIAN JOURNAL OF BIOLOGICAL INVASIONS,2075-1117,2075-1125,Ecology,S114222811
17318,RUSSIAN JOURNAL OF BUILDING CONSTRUCTION AND ARCHITECTURE,2542-0526,2542-0526,Construction & Building Technology,S4210197233
17319,RUSSIAN JOURNAL OF CRIMINOLOGY,2500-4255,2500-1442,Criminology & Penology,S4210199471
17320,RUSSIAN JOURNAL OF EARTH SCIENCES,1681-1208,1681-1208,"Geosciences, Multidisciplinary",S177820688
17321,RUSSIAN JOURNAL OF LINGUISTICS,2687-0088,2686-8024,Language & Linguistics,S4210239606
17322,RUSSIAN JOURNAL OF VIETNAMESE STUDIES-VYETNAMSKIYE ISSLEDOVANIYA,2618-9453,2618-9453,Area Studies,S4210233513
17323,RUSSIAN MATHEMATICS,1066-369X,1934-810X,Mathematics,S59896594
17324,RUSSIAN METALLURGY,0036-0295,1555-6255,Metallurgy & Metallurgical Engineering,S143746784
17325,RUSSIAN MUSICOLOGY,,3034-3836,Music,
17326,RUSSIAN OPEN MEDICAL JOURNAL,2304-3415,2304-3415,"Medicine, General & Internal",S2738261242
17327,RUSSIAN POLITICS,2451-8913,2451-8921,Political Science,S4210209153
17328,SABERES,1852-4184,1852-4222,Economics,S2738583839
17329,SABRAO JOURNAL OF BREEDING AND GENETICS,1029-7073,2224-8978,Plant Sciences,S178158586
17330,SAE INTERNATIONAL JOURNAL OF AEROSPACE,1946-3855,1946-3901,"Engineering, Aerospace",S2764416828
17331,SAE INTERNATIONAL JOURNAL OF COMMERCIAL VEHICLES,1946-391X,1946-3928,Transportation Science & Technology,S2765010150
17332,SAE INTERNATIONAL JOURNAL OF CONNECTED AND AUTOMATED VEHICLES,2574-0741,2574-075X,Transportation Science & Technology,S4210193755
17333,SAE INTERNATIONAL JOURNAL OF ELECTRIFIED VEHICLES,2691-3747,2691-3755,Transportation Science & Technology,S4210208336
17334,SAE INTERNATIONAL JOURNAL OF ENGINES,1946-3936,1946-3944,Transportation Science & Technology,S2764835558
17335,SAE INTERNATIONAL JOURNAL OF FUELS AND LUBRICANTS,1946-3952,1946-3960,Transportation Science & Technology,S2764470252
17336,SAE INTERNATIONAL JOURNAL OF MATERIALS AND MANUFACTURING,1946-3979,1946-3987,Transportation Science & Technology,S2764978717
17337,SAE INTERNATIONAL JOURNAL OF PASSENGER VEHICLE SYSTEMS,2770-3460,2770-3479,Transportation Science & Technology,S4210180931
17338,SAE INTERNATIONAL JOURNAL OF TRANSPORTATION SAFETY,2327-5626,2327-5634,Transportation Science & Technology,S2764622389
17339,SAE INTERNATIONAL JOURNAL OF VEHICLE DYNAMICS STABILITY AND NVH,2380-2162,2380-2170,"Transportation Science & Technology | Engineering, Mechanical",S4210178771
17340,SAFER COMMUNITIES,1757-8043,2042-8774,Criminology & Penology,S124310127
17341,SAFETY,,2313-576X,"Public, Environmental & Occupational Health",
17342,SAFUNDI,1753-3171,1543-1304,Area Studies,S79849269
17343,SAGE OPEN AGING,,3049-5334,Geriatrics & Gerontology,
17344,SAGE OPEN MEDICAL CASE REPORTS,2050-313X,2050-313X,"Medicine, General & Internal",S2764719888
17345,SAGE OPEN MEDICINE,2050-3121,2050-3121,"Medicine, General & Internal",S2764485085
17346,SAGE OPEN NURSING,2377-9608,2377-9608,Nursing,S4210168612
17347,SAGE OPEN PATHOLOGY,,3050-2098,Pathology,
17348,SAGE OPEN PEDIATRICS,,3050-2225,Pediatrics,
17349,SAGGIATORE MUSICALE,1123-8615,2035-6706,Music,
17350,SAGVNTVM-PAPELES DEL LABORATORIO DE ARQUEOLOGIA DE VALENCIA,0210-3729,2174-517X,Archaeology,S2739337444
17351,SAHAND COMMUNICATIONS IN MATHEMATICAL ANALYSIS,2322-5807,2423-3900,Mathematics,
17352,SAIEE AFRICA RESEARCH JOURNAL,1991-1696,1991-1696,"Engineering, Electrical & Electronic",S4210206115
17353,SAINS TANAH,1412-3606,2356-1424,Agronomy | Environmental Sciences | Soil Science,S2737066194
17354,SAJOG-SOUTH AFRICAN JOURNAL OF OBSTETRICS AND GYNAECOLOGY,0038-2329,2305-8862,Obstetrics & Gynecology,S4210227071
17355,SA JOURNAL OF HUMAN RESOURCE MANAGEMENT,1683-7584,2071-078X,Management,S4210205215
17356,SA JOURNAL OF INDUSTRIAL PSYCHOLOGY,0258-5200,2071-0763,"Psychology, Applied",S25017790
17357,SA JOURNAL OF RADIOLOGY,1027-202X,2078-6778,"Radiology, Nuclear Medicine & Medical Imaging",S2765006744
17358,SAKARYA UNIVERSITESI ILAHIYAT FAKULTESI DERGISI-JOURNAL OF SAKARYA UNIVERSITY FACULTY OF THEOLOGY,2146-9806,1304-6535,Religion,S4306529054
17359,SALA PRETA,2238-3867,2238-3867,Theater,S4210178034
17360,SALMAND-IRANIAN JOURNAL OF AGEING,1735-806X,1735-806X,Geriatrics & Gerontology,S4210188991
17361,SALUD ARTE Y CUIDADO,1856-9528,1856-9528,Nursing,
17362,SALUS JOURNAL,2202-5677,2202-5677,Criminology & Penology,S2737912266
17363,SAMPLING THEORY SIGNAL PROCESSING AND DATA ANALYSIS,2730-5716,2730-5724,"Mathematics | Mathematics, Applied",S4210210358
17364,SAMUEL BECKETT TODAY/AUJOURD'HUI,0927-3131,1875-7405,Literary Theory & Criticism | Literature | Theater,S4210178782
17365,SANAT TARIHI DERGISI-JOURNAL OF ART HISTORY,1300-5707,2636-8064,Art,S4210225402
17366,SANKHYA-SERIES A-MATHEMATICAL STATISTICS AND PROBABILITY,0976-836X,0976-8378,Statistics & Probability,S4210208107
17367,SANKHYA-SERIES B-APPLIED AND INTERDISCIPLINARY STATISTICS,0976-8386,0976-8394,Statistics & Probability,S4210173347
17368,SANTANDER ESTUDIOS DE PATRIMONIO,2605-4450,2605-5317,History | Art,S4210198911
17369,SANTE MENTALE AU QUEBEC,0383-6320,1708-3923,Psychiatry,S2755407099
17370,SAO PAULO JOURNAL OF MATHEMATICAL SCIENCES,1982-6907,2316-9028,Mathematics,S2764404582
17371,SA PHARMACEUTICAL JOURNAL,2221-5875,2220-1017,Pharmacology & Pharmacy,S4404662236
17372,SARE-SOUTHEAST ASIAN REVIEW OF ENGLISH,0127-046X,0127-046X,Literature,S4210240469
17373,SARTRE STUDIES INTERNATIONAL,1357-1559,1357-1559,Philosophy,S4210185410
17374,SAUDI DENTAL JOURNAL,1013-9052,1658-3558,"Dentistry, Oral Surgery & Medicine",S89869488
17375,SAUDI JOURNAL OF ANAESTHESIA,1658-354X,0975-3125,Anesthesiology,S59148946
17376,SAUDI JOURNAL OF KIDNEY DISEASES AND TRANSPLANTATION,1319-2442,2320-3838,Urology & Nephrology,S2738820694
17377,SAUDI JOURNAL OF MEDICINE & MEDICAL SCIENCES,1658-631X,2321-4856,"Medicine, General & Internal",S2764947586
17378,SAUDI JOURNAL OF OPHTHALMOLOGY,1319-4534,2542-6680,Ophthalmology,S72750922
17379,SCANDINAVIAN ECONOMIC HISTORY REVIEW,0358-5522,1750-2837,Economics,S170287006
17380,SCANDINAVIAN JOURNAL OF CHILD AND ADOLESCENT PSYCHIATRY AND PSYCHOLOGY,2245-8875,2245-8875,Psychiatry,S2913583916
17381,SCANDINAVIAN JOURNAL OF DISABILITY RESEARCH,1501-7419,1745-3011,Rehabilitation,S183775936
17382,SCANDINAVIAN JOURNAL OF FORENSIC SCIENCE,2353-0707,2353-0707,"Medicine, Legal",S4210188279
17383,SCANDINAVIAN JOURNAL OF PAIN,1877-8860,1877-8879,Clinical Neurology,S69617268
17384,SCANDINAVIAN JOURNAL OF PUBLIC ADMINISTRATION,2001-7405,2001-7413,Public Administration,S2764624424
17385,SCANDO-SLAVICA,0080-6765,1600-082X,"Humanities, Multidisciplinary",S45331873
17386,SCHIZOPHRENIA BULLETIN OPEN,,2632-7899,Psychiatry,
17387,SCHIZOPHRENIA RESEARCH-COGNITION,2215-0013,2215-0013,"Psychiatry | Psychology, Experimental",S2898356475
17388,SCHOLE-FILOSOFSKOE ANTIKOVEDENIE I KLASSICHESKAYA TRADITSIYA-SCHOLE-ANCIENT PHILOSOPHY AND THE CLASSICAL TRADITION,1995-4328,1995-4336,Philosophy,S4210229139
17389,SCHOOL LEADERSHIP & MANAGEMENT,1363-2434,1364-2626,Education & Educational Research | Management,S99844693
17390,SCHOOL SCIENCE AND MATHEMATICS,0036-6803,1949-8594,Education & Educational Research,S156773718
17391,SCHOOLS-STUDIES IN EDUCATION,1550-1175,2153-0327,Education & Educational Research,S13973740
17392,SCIENCE ACTIVITIES-PROJECTS AND CURRICULUM IDEAS IN STEM CLASSROOMS,0036-8121,1940-1302,Education & Educational Research,S95132780
17393,SCIENCE AND INNOVATION,2409-9066,2413-4996,Multidisciplinary Sciences,S4210171040
17394,SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS-METHODS,,2766-0400,"Materials Science, Multidisciplinary",
17395,SCIENCE AND TECHNOLOGY OF ARCHAEOLOGICAL RESEARCH,2054-8923,2054-8923,Archaeology,S4210199811
17396,SCIENCE DILIMAN,0115-7809,0115-7809,Multidisciplinary Sciences,S2736396493
17397,SCIENCE EDITING,2288-7474,2288-8063,Communication,S2739153651
17398,SCIENCE FICTION FILM AND TELEVISION,1754-3770,1754-3789,"Film, Radio, Television",S68060113
17399,SCIENCE & GLOBAL SECURITY,0892-9882,1547-7800,International Relations,S55032156
17400,SCIENCE IN ONE HEALTH,,2949-7043,"Infectious Diseases | Public, Environmental & Occupational Health",
17401,SCIENCE OF GYMNASTICS JOURNAL,1855-7171,1855-7171,Sport Sciences,S4210204721
17402,SCIENCE OF REMOTE SENSING,2666-0172,2666-0172,Environmental Sciences | Remote Sensing | Imaging Science & Photographic Technology,S4210173871
17403,SCIENCE & TECHNIQUE,2227-1031,2227-1031,"Engineering, Multidisciplinary",S2736972902
17404,SCIENTIA AGROPECUARIA,2077-9917,2306-6741,"Agriculture, Dairy & Animal Science",S2739387109
17405,SCIENTIA ET FIDES,2300-7648,2353-5636,Religion,S2738183421
17406,SCIENTIA MEDICA,1806-5562,1980-6108,"Medicine, General & Internal",S4210209668
17407,SCIENTIA PHARMACEUTICA,,2218-0532,Pharmacology & Pharmacy,
17408,SCIENTIA SINICA-PHYSICA MECHANICA & ASTRONOMICA,1674-7275,2095-9478,"Astronomy & Astrophysics | Physics, Multidisciplinary",S4210187434
17409,SCIENTIFICA,2090-908X,2090-908X,Biology,S4210201118
17410,SCIENTIFIC AFRICAN,2468-2276,2468-2276,Multidisciplinary Sciences,S4210198261
17411,SCIENTIFIC AND TECHNICAL INFORMATION PROCESSING,0147-6882,1934-8118,Information Science & Library Science,S189109583
17412,SCIENTIFIC ANNALS OF COMPUTER SCIENCE,1843-8121,1843-8121,"Computer Science, Theory & Methods",S4210179375
17413,SCIENTIFIC ANNALS OF ECONOMICS AND BUSINESS,2501-1960,2501-3165,Economics,S2739380121
17414,SCIENTIFIC BULLETIN OF MUKACHEVO STATE UNIVERSITY-SERIES ECONOMICS,2313-8114,2518-1254,"Economics | Business, Finance",S4210174903
17415,SCIENTIFIC CHRONICLES,1791-1362,2241-1666,"Medicine, General & Internal",S2736582096
17416,SCIENTIFIC DRILLING,1816-8957,1816-3459,"Geosciences, Multidisciplinary",S174624501
17417,SCIENTIFIC JOURNAL OF SILESIAN UNIVERSITY OF TECHNOLOGY-SERIES TRANSPORT,0209-3324,2450-1549,Transportation Science & Technology,S2764349695
17418,SCIENTIFIC JOURNALS OF THE MARITIME UNIVERSITY OF SZCZECIN-ZESZYTY NAUKOWE AKADEMII MORSKIEJ W SZCZECINIE,1733-8670,2392-0378,"Engineering, Marine",S2736482493
17419,SCIENTIFIC PAPERS OF THE UNIVERSITY OF PARDUBICE-SERIES D-FACULTY OF ECONOMICS AND ADMINISTRATION,1211-555X,1804-8048,Business | Economics | Management,S4210196335
17420,SCIENTIFIC PAPERS OF VINNYTSIA MYKHAILO KOTSYIUBYNSKYI STATE PEDAGOGICAL UNIVERSITY SERIES: HISTORY.,2411-2143,2709-2453,History,S4210225926
17421,SCIENTIFIC PAPERS-SERIES A-AGRONOMY,2285-5785,2285-5807,Agronomy,
17422,SCIENTIFIC PAPERS-SERIES B-HORTICULTURE,2285-5653,2286-1580,Plant Sciences,
17423,SCIENTIFIC PAPERS-SERIES D-ANIMAL SCIENCE,2285-5750,2393-2260,"Agriculture, Dairy & Animal Science",
17424,SCIENTIFIC PAPERS-SERIES E-LAND RECLAMATION EARTH OBSERVATION & SURVEYING ENVIRONMENTAL ENGINEERING,2285-6064,2285-6064,"Agriculture, Multidisciplinary",
17425,SCIENTIFIC PAPERS-SERIES MANAGEMENT ECONOMIC ENGINEERING IN AGRICULTURE AND RURAL DEVELOPMENT,2284-7995,2285-3952,Agricultural Economics & Policy,S4393918356
17426,SCIENTIFIC STUDY AND RESEARCH-CHEMISTRY AND CHEMICAL ENGINEERING BIOTECHNOLOGY FOOD INDUSTRY,1582-540X,1582-540X,"Chemistry, Multidisciplinary",S4404662906
17427,SCIENZA & POLITICA-PER UNA STORIA DELLE DOTTRINE,1590-4946,1825-9618,Political Science,S2737089086
17428,SCIPOST PHYSICS CORE,,2666-9366,"Physics, Multidisciplinary",
17429,SCIRE-REPRESENTACION Y ORGANIZACION DEL CONOCIMIENTO,1135-3716,2340-7042,Information Science & Library Science,S4210172642
17430,SCIRES-IT-SCIENTIFIC RESEARCH AND INFORMATION TECHNOLOGY,2239-4303,2239-4303,"Humanities, Multidisciplinary",S2738398039
17431,SCM STUDIES IN COMMUNICATION AND MEDIA,,2192-4007,Communication,
17432,SCOTTISH AFFAIRS,0966-0356,2053-888X,Political Science,S2765052837
17433,SCOTTISH ARCHAEOLOGICAL JOURNAL,1471-5767,1755-2028,Archaeology,S4210189771
17434,SCRIPTA,1971-9027,2035-2751,Archaeology,
17435,SCRIPTA-REVISTA INTERNACIONAL DE LITERATURA I CULTURA MEDIEVAL I MODERNA-INTERNATIONAL JOURNAL OF MEDIEVAL & MODERN LITERATURE & CULTURE,2340-4841,2340-4841,Medieval & Renaissance Studies,S2739219733
17436,SCRIPTA THEOLOGICA,0036-9764,2254-6227,Religion,S166586055
17437,SCRIPTURA-INTERNATIONAL JOURNAL OF BIBLE RELIGION AND THEOLOGY IN SOUTHERN AFRICA,0254-1807,2305-445X,Religion,S2764899028
17438,SCRUTINY2-ISSUES IN ENGLISH STUDIES IN SOUTHERN AFRICA,1812-5441,1753-5409,Literature,S4210194887
17439,SEARCH-JOURNAL OF MEDIA AND COMMUNICATION RESEARCH,,2672-7080,Communication,
17440,SECULARISM & NONRELIGION,2053-6712,2053-6712,Sociology,S4210202763
17441,SECULAR STUDIES,2589-2517,2589-2525,Philosophy | Religion,S4210236732
17442,SECURITY AND HUMAN RIGHTS,1874-7337,1875-0230,Political Science,S2764513295
17443,SECURITY AND PRIVACY,2475-6725,2475-6725,"Computer Science, Information Systems | Telecommunications",S4210233143
17444,SEED BIOLOGY,,2834-5495,Plant Sciences,
17445,SEEFOR-SOUTH-EAST EUROPEAN FORESTRY,1847-6481,1849-0891,Forestry,S2764612023
17446,SEISMIC INSTRUMENTS,0747-9239,1934-7871,Geochemistry & Geophysics,S171999549
17447,SELCUK UNIVERSITESI EDEBIYAT FAKULTESI DERGISI-SELCUK UNIVERSITY JOURNAL OF FACULTY OF LETTERS,1300-4921,2458-908X,"Humanities, Multidisciplinary",S2737699940
17448,SELCUK UNIVERSITESI TURKIYAT ARASTIRMALARI DERGISI-SELCUK UNIVERSITY JOURNAL OF STUDIES IN TURCOLOGY,,2458-9071,"Humanities, Multidisciplinary",
17449,SEMANTICS & PRAGMATICS,1937-8912,1937-8912,Linguistics | Language & Linguistics,S33105140
17450,SEMICONDUCTOR PHYSICS QUANTUM ELECTRONICS & OPTOELECTRONICS,1560-8034,1605-6582,Quantum Science & Technology,S4210208552
17451,SEMINARS IN CARDIOTHORACIC AND VASCULAR ANESTHESIA,1089-2532,1940-5596,Anesthesiology,S114672695
17452,SEMINARS IN COLON AND RECTAL SURGERY,1043-1489,1558-4585,Surgery,S185743309
17453,SENDEBAR-REVISTA DE TRADUCCION E INTERPRETACION,1130-5509,2340-2415,Language & Linguistics,S2736667443
17454,SENSING AND BIO-SENSING RESEARCH,,2214-1804,"Chemistry, Analytical",
17455,SENSING AND IMAGING,1557-2064,1557-2072,Instruments & Instrumentation,S4210206013
17456,SENSORS AND ACTUATORS REPORTS,2666-0539,2666-0539,"Biotechnology & Applied Microbiology | Chemistry, Analytical | Electrochemistry | Nanoscience & Nanotechnology | Instruments & Instrumentation",S4210203583
17457,SENSORS & DIAGNOSTICS,,2635-0998,"Chemistry, Analytical",
